decay_rate,eval_acc,eval_f1,eval_pre,eval_recall,num_new_labeled,num_pseudo_labeled,num_total_labeled,pseudo_acc,round,threshold
0.001,0.6868241890268322,0.6608331532157513,0.7946007956874146,0.5682819382782501,,,995.0,,0.0,0.046
0.001,0.7168602322787345,0.704480059227086,0.813333596092823,0.6239487384384425,200,0,1195.0,,1.0,0.046
0.001,0.7444933920704846,0.7384032912143574,0.8194463864583514,0.6732078493715622,200,0,1395.0,,2.0,0.046
0.001,0.7605126151381658,0.7556856923882466,0.8262301617543316,0.697637164549776,200,0,1595.0,,3.0,0.046
0.001,0.7725270324389267,0.7690161298311468,0.8272504198775561,0.7196635962678377,200,0,1795.0,,4.0,0.046
0.001,0.7749299158990789,0.7781296692278369,0.8262272560458017,0.736483780488903,200,0,1995.0,,5.0,0.046
0.001,0.7841409691629956,0.7881152389476335,0.8373369423446533,0.7452943531761277,200,0,2195.0,,6.0,0.046
0.001,0.7873448137765319,0.7931446262631934,0.8506035901662775,0.7440929114460515,200,0,2395.0,,7.0,0.046
0.001,0.789347216659992,0.7931778906677835,0.8410822493962207,0.7517020424032002,200,0,2595.0,,8.0,0.046
0.001,0.7973568281938326,0.8005390494978327,0.8459749232782189,0.7605126150904248,200,0,2795.0,,9.0,0.046
0.001,0.802162595114137,0.8072070532385521,0.8555551955448802,0.7653183820107292,200,0,2995.0,,10.0,0.046
0.001,0.8073688426111334,0.8090393805102821,0.852950864903775,0.7705246295077256,200,0,3195.0,,11.0,0.046
0.001,0.8097717260712856,0.8092039838570521,0.8479573971565408,0.7745294352746459,200,0,3395.0,,12.0,0.046
0.001,0.8165798958750501,0.8178250209350418,0.8503301694100028,0.7881457748821749,200,0,3595.0,,13.0,0.046
0.001,0.8197837404885863,0.8237619701031451,0.8576393783880225,0.7929515418024793,200,0,3795.0,,14.0,0.046
0.001,0.8229875851021226,0.82310083127757,0.8576585450647924,0.7917501000724032,200,0,3995.0,,15.0,0.046
0.001,0.828594313175811,0.8286558768488571,0.8574422729650306,0.802162595066396,200,0,4195.0,,16.0,0.046
0.001,0.828594313175811,0.8286558768488571,0.8574422729650306,0.802162595066396,200,0,4395.0,,17.0,0.046
0.001,0.8342010412494995,0.837696658953887,0.8677163694589483,0.8101722066002366,200,0,4595.0,,18.0,0.046
0.001,0.8350020024028835,0.839939021114163,0.8685122020826084,0.8137765317904648,200,0,4795.0,,19.0,0.046
0.001,0.8382058470164198,0.8410934383362162,0.8703596582878672,0.8141770123671569,200,0,4995.0,,20.0,0.046
0.001,0.8390068081698038,0.8450620541297582,0.8719945394567934,0.8201842210175373,200,0,5195.0,,21.0,0.046
0.001,0.8390068081698038,0.8450620541297582,0.8719945394567934,0.8201842210175373,200,0,5395.0,,22.0,0.046
0.001,0.8402082498998799,0.8446466508606791,0.8715468235478002,0.8197837404408453,200,0,5595.0,,23.0,0.046
0.001,0.8474169002803364,0.8498809945120256,0.8741366210631194,0.8273928713979939,200,0,5795.0,,24.0,0.046
0.001,0.8490188225871045,0.8526184194365835,0.8747335119537701,0.8317981577416063,200,0,5995.0,,25.0,0.046
0.001,0.8506207448938726,0.8557072395461055,0.876879429645332,0.8358029635085266,200,0,6195.0,,26.0,0.046
0.001,0.8530236283540248,0.8552196549328509,0.8780342715713659,0.8338005606250664,200,0,6395.0,,27.0,0.046
0.001,0.8542250700841009,0.8565020134652381,0.8781209295159776,0.8362034440852185,200,0,6595.0,,28.0,0.046
0.001,0.8554265118141771,0.8590742942329211,0.8799222977007681,0.8394072886987548,200,0,6795.0,,29.0,0.046
0.001,0.8570284341209451,0.8619650327113805,0.8820551015111414,0.843011613888983,200,0,6995.0,,30.0,0.046
0.001,0.8582298758510212,0.8621747356488507,0.8834539099029889,0.842210652735599,200,0,7195.0,,31.0,0.046
0.001,0.8586303564277132,0.8632631312621609,0.8826944521058785,0.8450140167724433,200,0,7395.0,,32.0,0.046
0.001,0.8598317981577893,0.8640502116228516,0.8829135443622893,0.8462154585025193,200,0,7595.0,,33.0,0.046
0.001,0.8614337204645575,0.8662112719973517,0.8843331724154648,0.8490188225393636,200,0,7795.0,,34.0,0.046
0.001,0.8634361233480177,0.8667984955254487,0.8848198801219391,0.8498197836927476,200,0,7995.0,,35.0,0.046
0.001,0.867440929114938,0.8700694464233621,0.8876099393135746,0.8534241088829758,200,0,8195.0,,36.0,0.046
0.001,0.8678414096916299,0.8743885728565273,0.8922701687348763,0.8574289146498961,200,0,8395.0,,37.0,0.046
