decay_rate,eval_acc,eval_f1,eval_pre,eval_recall,num_new_labeled,num_pseudo_labeled,num_total_labeled,pseudo_acc,round,threshold
0.001,0.6868241890268322,0.6608331471049027,0.7946007956874146,0.5682819382782501,,,995.0,,0.0,0.046
0.001,0.696836203444133,0.6856542524691815,0.7827435058739647,0.6139367240211416,200,0,1195.0,,0.0,0.046
0.001,0.6992390869042852,0.6900106695923368,0.765377839040317,0.6303564276655149,200,0,1395.0,,1.0,0.046
0.001,0.7220664797757309,0.7138391752982073,0.7776572410708005,0.6615939126474932,200,0,1595.0,,2.0,0.046
0.001,0.7733279935923107,0.7697361894593413,0.8216754972433442,0.7248698437648341,200,0,1795.0,,3.0,0.046
0.001,0.7757308770524629,0.7704049118480828,0.8077161159809465,0.7372847416422871,200,0,1995.0,,4.0,0.046
0.001,0.7929515418502202,0.7966840114648885,0.8332432466456543,0.7637164597039611,200,0,2195.0,,5.0,0.046
0.001,0.8009611533840608,0.7993743385512398,0.8346396993053499,0.7677212654708814,200,0,2395.0,,6.0,0.046
0.001,0.8125750901081298,0.8167357789691945,0.8491877386175636,0.7873448137287908,200,0,2595.0,,7.0,0.046
0.001,0.8225871045254305,0.8246901621807085,0.8580357769178208,0.7945534641092474,200,0,2795.0,,8.0,0.046
0.001,0.8317981577893472,0.8375750943141123,0.8730025468561999,0.8053664396799322,200,0,2995.0,,9.0,0.046
0.001,0.8317981577893472,0.8375750943141123,0.8730025468561999,0.8053664396799322,200,0,3195.0,,10.0,0.046
0.001,0.8386063275931117,0.8423391653864107,0.8678677168472987,0.8185822987107692,200,0,3395.0,,11.0,0.046
0.001,0.8458149779735683,0.8495639453518615,0.8778155749924048,0.8233880656310736,200,0,3595.0,,12.0,0.046
0.001,0.8526231477773328,0.8522856715062546,0.8745846379314082,0.8313976771649142,200,0,3795.0,,13.0,0.046
0.001,0.8602322787344814,0.8594931455483473,0.8857749034081834,0.8350020023551424,200,0,3995.0,,14.0,0.046
0.001,0.8602322787344814,0.8594931455483473,0.8857749034081834,0.8350020023551424,200,0,4195.0,,15.0,0.046
0.001,0.8602322787344814,0.8594931455483473,0.8857749034081834,0.8350020023551424,200,0,4395.0,,16.0,0.046
0.001,0.8602322787344814,0.8594931455483473,0.8857749034081834,0.8350020023551424,200,0,4595.0,,17.0,0.046
0.001,0.8602322787344814,0.8594931455483473,0.8857749034081834,0.8350020023551424,200,0,4795.0,,18.0,0.046
0.001,0.8602322787344814,0.8594931455483473,0.8857749034081834,0.8350020023551424,200,0,4995.0,,19.0,0.046
0.001,0.8602322787344814,0.8594931455483473,0.8857749034081834,0.8350020023551424,200,0,5195.0,,20.0,0.046
0.001,0.8602322787344814,0.8594931455483473,0.8857749034081834,0.8350020023551424,200,0,5395.0,,21.0,0.046
0.001,0.8602322787344814,0.8594931455483473,0.8857749034081834,0.8350020023551424,200,0,5595.0,,22.0,0.046
0.001,0.8626351621946335,0.8613132450119418,0.8879743857435288,0.8366039246619106,200,0,5795.0,,23.0,0.046
0.001,0.8634361233480177,0.8685725757156222,0.8924643302565343,0.8462154585025193,200,0,5995.0,,24.0,0.046
0.001,0.8646375650780938,0.8681215355049671,0.8866880429378261,0.8506207448461316,200,0,6195.0,,25.0,0.046
0.001,0.8678414096916299,0.8737140909929394,0.8935332750386126,0.855026031189744,200,0,6395.0,,26.0,0.046
0.001,0.8678414096916299,0.8737140909929394,0.8935332750386126,0.855026031189744,200,0,6595.0,,27.0,0.046
0.001,0.8678414096916299,0.8737140909929394,0.8935332750386126,0.855026031189744,200,0,6795.0,,28.0,0.046
0.001,0.8698438125750901,0.8713879735411574,0.8952700897460467,0.8490188225393636,200,0,6995.0,,29.0,0.046
0.001,0.8698438125750901,0.8713879735411574,0.8952700897460467,0.8490188225393636,200,0,7195.0,,30.0,0.046
0.001,0.8698438125750901,0.8713879735411574,0.8952700897460467,0.8490188225393636,200,0,7395.0,,31.0,0.046
0.001,0.8698438125750901,0.8713879735411574,0.8952700897460467,0.8490188225393636,200,0,7595.0,,32.0,0.046
0.001,0.8702442931517821,0.8736230485144261,0.8964587475807608,0.8522226671528997,200,0,7795.0,,33.0,0.046
0.001,0.8702442931517821,0.8736230485144261,0.8964587475807608,0.8522226671528997,200,0,7995.0,,34.0,0.046
0.001,0.8702442931517821,0.8736230485144261,0.8964587475807608,0.8522226671528997,200,0,8195.0,,35.0,0.046
0.001,0.8702442931517821,0.8736230485144261,0.8964587475807608,0.8522226671528997,200,0,8395.0,,36.0,0.046
0.001,0.8702442931517821,0.8736230485144261,0.8964587475807608,0.8522226671528997,200,0,8595.0,,37.0,0.046
0.001,0.8706447737284742,0.8735552960078049,0.8932018012202259,0.855026031189744,200,0,8795.0,,38.0,0.046
0.001,0.8710452543051662,0.8751181363820744,0.8982929203287812,0.8534241088829758,200,0,8995.0,,39.0,0.046
0.001,0.8710452543051662,0.8751181363820744,0.8982929203287812,0.8534241088829758,200,0,9195.0,,40.0,0.046
0.001,0.8722466960352423,0.8726491717324049,0.8947178966577979,0.8518221865762078,200,0,9395.0,,41.0,0.046
0.001,0.8722466960352423,0.8726491717324049,0.8947178966577979,0.8518221865762078,200,0,9595.0,,42.0,0.046
0.001,0.8722466960352423,0.8726491717324049,0.8947178966577979,0.8518221865762078,200,0,9795.0,,43.0,0.046
0.001,0.8722466960352423,0.8726491717324049,0.8947178966577979,0.8518221865762078,200,0,9995.0,,44.0,0.046
0.001,0.8722466960352423,0.8726491717324049,0.8947178966577979,0.8518221865762078,8,0,10003.0,,45.0,0.046
