decay_rate,eval_acc,eval_f1,eval_pre,eval_recall,num_new_labeled,num_pseudo_labeled,num_total_labeled,pseudo_acc,round,threshold
0.001,0.6868241890268322,0.6608331532157513,0.7946007956874146,0.5682819382782501,,,995.0,,0.0,0.046
0.001,0.7225030036043252,0.7489163646661715,0.8434615327589121,0.6752102522550223,200,0,1195.0,,1.0,0.046
0.001,0.7665198237885462,0.7633721989109176,0.837685787778021,0.7024429314700804,200,0,1395.0,,2.0,0.046
0.001,0.7825390468562274,0.784555449622318,0.8402980197464222,0.736884261065595,200,0,1595.0,,3.0,0.046
0.001,0.7933520224269123,0.7943724699148331,0.8469790395947518,0.749299158943048,200,0,1795.0,,4.0,0.046
0.001,0.7993592310772928,0.8020248992900444,0.8494107845930466,0.7609130956671168,200,0,1995.0,,5.0,0.046
0.001,0.8009611533840608,0.8041037656948669,0.8463215489458169,0.7665198237408053,200,0,2195.0,,6.0,0.046
0.001,0.8045654785742892,0.8072555901816142,0.8461594861843703,0.7725270323911857,200,0,2395.0,,7.0,0.046
0.001,0.8093712454945935,0.8161112838475094,0.8574444637042692,0.7793352021949502,200,0,2595.0,,8.0,0.046
0.001,0.8141770124148979,0.8121365434559145,0.8509891770771135,0.77733279931149,200,0,2795.0,,9.0,0.046
0.001,0.815778934721666,0.8188488630709956,0.861837045593552,0.7805366439250263,200,0,2995.0,,10.0,0.046
0.001,0.8201842210652783,0.8247337080881412,0.8617911347876943,0.7913496194957111,200,0,3195.0,,11.0,0.046
0.001,0.8209851822186623,0.8265000626379173,0.8601925673368315,0.7957549058393235,200,0,3395.0,,12.0,0.046
0.001,0.8257909491389668,0.8295960278572155,0.8626593656906568,0.7993592310295518,200,0,3595.0,,13.0,0.046
0.001,0.8317981577893472,0.8350690398686019,0.8680553260114988,0.8049659591032402,200,0,3795.0,,14.0,0.046
0.001,0.8329995995194233,0.8343871501287461,0.8636644062730471,0.8073688425633924,200,0,3995.0,,15.0,0.046
0.001,0.8378053664397277,0.8435136552185453,0.8689653765071522,0.8197837404408453,200,0,4195.0,,16.0,0.046
0.001,0.8446135362434922,0.8470378427396643,0.878082266176611,0.8185822987107692,200,0,4395.0,,17.0,0.046
0.001,0.8446135362434922,0.8470378427396643,0.878082266176611,0.8185822987107692,200,0,4595.0,,18.0,0.046
0.001,0.8446135362434922,0.8470378427396643,0.878082266176611,0.8185822987107692,200,0,4795.0,,19.0,0.046
0.001,0.8474169002803364,0.8485705795458044,0.8734555608709669,0.8253904685145337,200,0,4995.0,,20.0,0.046
0.001,0.8474169002803364,0.8485705795458044,0.8734555608709669,0.8253904685145337,200,0,5195.0,,21.0,0.046
0.001,0.8482178614337205,0.8480072861009949,0.8742555809536598,0.8237885462077656,200,0,5395.0,,22.0,0.046
0.001,0.8510212254705647,0.853588423468277,0.8796938802893275,0.829395274281454,200,0,5595.0,,23.0,0.046
0.001,0.8510212254705647,0.853588423468277,0.8796938802893275,0.829395274281454,200,0,5795.0,,24.0,0.046
0.001,0.8514217060472568,0.8575475582801488,0.8795739716895351,0.8370044052386026,200,0,5995.0,,25.0,0.046
0.001,0.8562274729675611,0.8603926578855152,0.8842954043154245,0.8382058469686787,200,0,6195.0,,26.0,0.046
0.001,0.8582298758510212,0.8628171737498649,0.8879589069639152,0.8394072886987548,200,0,6395.0,,27.0,0.046
0.001,0.8582298758510212,0.8628171737498649,0.8879589069639152,0.8394072886987548,200,0,6595.0,,28.0,0.046
0.001,0.8586303564277132,0.8605535993062357,0.8818420941322672,0.8406087304288309,200,0,6795.0,,29.0,0.046
0.001,0.8598317981577893,0.8663580744420236,0.8869958647165387,0.8470164196559034,200,0,6995.0,,30.0,0.046
0.001,0.8634361233480177,0.8646590965816772,0.8861035524867849,0.8446135361957512,200,0,7195.0,,31.0,0.046
0.001,0.8634361233480177,0.8646590965816772,0.8861035524867849,0.8446135361957512,200,0,7395.0,,32.0,0.046
0.001,0.8650380456547857,0.8700177226727325,0.8888924002026767,0.8522226671528997,200,0,7595.0,,33.0,0.046
0.001,0.868241890268322,0.8702548358217926,0.8888859395079485,0.8526231477295918,200,0,7795.0,,34.0,0.046
0.001,0.868241890268322,0.8702548358217926,0.8888859395079485,0.8526231477295918,200,0,7995.0,,35.0,0.046
0.001,0.8706447737284742,0.8758231449900602,0.896192430686034,0.8566279534965121,200,0,8195.0,,36.0,0.046
0.001,0.8722466960352423,0.8746209684304347,0.8936772573266356,0.8566279534965121,200,0,8395.0,,37.0,0.046
0.001,0.8754505406487786,0.8781178282364206,0.8958157106165796,0.8614337204168164,200,0,8595.0,,38.0,0.046
0.001,0.8778534241089307,0.8816280173310099,0.8973749089250576,0.8666399679138128,200,0,8795.0,,39.0,0.046
0.001,0.8794553464156989,0.8835475555791538,0.9017922779441501,0.8662394873371209,200,0,8995.0,,40.0,0.046
0.001,0.8794553464156989,0.8835475555791538,0.9017922779441501,0.8662394873371209,200,0,9195.0,,41.0,0.046
0.001,0.8794553464156989,0.8835475555791538,0.9017922779441501,0.8662394873371209,200,0,9395.0,,42.0,0.046
0.001,0.8794553464156989,0.8835475555791538,0.9017922779441501,0.8662394873371209,200,0,9595.0,,43.0,0.046
0.001,0.8794553464156989,0.8835475555791538,0.9017922779441501,0.8662394873371209,200,0,9795.0,,44.0,0.046
0.001,0.8794553464156989,0.8835475555791538,0.9017922779441501,0.8662394873371209,200,0,9995.0,,45.0,0.046
0.001,0.8794553464156989,0.8835475555791538,0.9017922779441501,0.8662394873371209,8,0,10003.0,,46.0,0.046
