decay_rate,eval_acc,eval_f1,eval_pre,eval_recall,num_new_labeled,num_pseudo_labeled,num_total_labeled,pseudo_acc,round,threshold
0.001,0.6330128205128205,0.5967464408813379,0.7452360972380027,0.5012019230769231,,,997.0,,0.0,0.046
0.001,0.6642628205128205,0.6620666980743408,0.7289729462220118,0.6089743589743589,200,0,1197.0,,0.0,0.046
0.001,0.6919070512820513,0.6884828194593772,0.7522734915598844,0.6358173076923077,200,0,1397.0,,1.0,0.046
0.001,0.6939102564102564,0.6860616742036282,0.7395370128827218,0.6410256410256411,200,0,1597.0,,2.0,0.046
0.001,0.7079326923076923,0.705864402728203,0.7533162350838001,0.6650641025641025,200,0,1797.0,,3.0,0.046
0.001,0.7167467948717948,0.7152373232902625,0.7521471281846365,0.6826923076923077,200,0,1997.0,,4.0,0.046
0.001,0.7267628205128205,0.7236183904684507,0.7622256118517655,0.6895032051282052,200,0,2197.0,,5.0,0.046
0.001,0.7287660256410257,0.7248727297171568,0.7587337165306776,0.6943108974358975,200,0,2397.0,,6.0,0.046
0.001,0.7359775641025641,0.7348987872783954,0.765264480541914,0.7075320512820513,200,0,2597.0,,7.0,0.046
0.001,0.7475961538461539,0.749304358775799,0.7796010512572068,0.7219551282051282,200,0,2797.0,,8.0,0.046
0.001,0.7588141025641025,0.7563213079403608,0.7798090523634201,0.7347756410256411,200,0,2997.0,,9.0,0.046
0.001,0.7604166666666666,0.7596420867320819,0.7846305232781631,0.7367788461538461,200,0,3197.0,,10.0,0.046
0.001,0.7668269230769231,0.7704403729010851,0.7946475660189604,0.7483974358974359,200,0,3397.0,,11.0,0.046
0.001,0.7720352564102564,0.7718810546092498,0.7976832756629357,0.7479967948717948,200,0,3597.0,,12.0,0.046
0.001,0.7784455128205128,0.7774067039673145,0.8035407838148948,0.7536057692307693,200,0,3797.0,,13.0,0.046
0.001,0.7816506410256411,0.7803170123161414,0.8075394278917557,0.7556089743589743,200,0,3997.0,,14.0,0.046
0.001,0.7852564102564102,0.7848528669430659,0.8165729022943057,0.7564102564102564,200,0,4197.0,,15.0,0.046
0.001,0.7852564102564102,0.7848528669430659,0.8165729022943057,0.7564102564102564,200,0,4397.0,,16.0,0.046
0.001,0.7852564102564102,0.7848528669430659,0.8165729022943057,0.7564102564102564,200,0,4597.0,,17.0,0.046
0.001,0.7860576923076923,0.7877413248404478,0.8145748254580375,0.7632211538461539,200,0,4797.0,,18.0,0.046
0.001,0.7888621794871795,0.7901904216179481,0.8132245066838387,0.7688301282051282,200,0,4997.0,,19.0,0.046
0.001,0.7904647435897436,0.7922217280436785,0.8109694352516761,0.7748397435897436,200,0,5197.0,,20.0,0.046
0.001,0.7932692307692307,0.794190947826092,0.817080788123302,0.7732371794871795,200,0,5397.0,,21.0,0.046
0.001,0.7932692307692307,0.794190947826092,0.817080788123302,0.7732371794871795,200,0,5597.0,,22.0,0.046
0.001,0.7932692307692307,0.794190947826092,0.817080788123302,0.7732371794871795,200,0,5797.0,,23.0,0.046
0.001,0.7932692307692307,0.794190947826092,0.817080788123302,0.7732371794871795,200,0,5997.0,,24.0,0.046
