decay_rate,eval_acc,eval_f1,eval_pre,eval_recall,num_new_labeled,num_pseudo_labeled,num_total_labeled,pseudo_acc,round,threshold
0.001,0.6330128205128205,0.5967464447021484,0.7452360972380027,0.5012019230769231,,,997.0,,0.0,0.046
0.001,0.6834935897435898,0.6757732889591119,0.7504939895409805,0.6169871794871795,200.0,0.0,1197.0,,1.0,0.046
0.001,0.6955128205128205,0.688974182575177,0.7483793634634751,0.639823717948718,200.0,0.0,1397.0,,2.0,0.046
0.001,0.7019230769230769,0.6953938840291439,0.7444148247058575,0.6534455128205128,200.0,0.0,1597.0,,3.0,0.046
0.001,0.7047275641025641,0.6973288662922688,0.7477733859649072,0.6542467948717948,200.0,0.0,1797.0,,4.0,0.046
0.001,0.7203525641025641,0.7162886781570239,0.7543309025275402,0.6826923076923077,200.0,0.0,1997.0,,5.0,0.046
0.001,0.7371794871794872,0.7343825980638846,0.7731520052139575,0.7003205128205128,200.0,0.0,2197.0,,6.0,0.046
0.001,0.7371794871794872,0.7343825980638846,0.7731520052139575,0.7003205128205128,200.0,0.0,2397.0,,7.0,0.046
0.001,0.7423878205128205,0.734259538925611,0.770090767970452,0.702323717948718,200.0,0.0,2597.0,,8.0,0.046
0.001,0.7467948717948718,0.7415470824791834,0.7741802013837374,0.7123397435897436,200.0,0.0,2797.0,,9.0,0.046
0.001,0.7536057692307693,0.7591304672070038,0.7901251346637042,0.7311698717948718,200.0,0.0,2997.0,,10.0,0.046
0.001,0.7584134615384616,0.7547897635362087,0.7821403925235455,0.7299679487179487,200.0,0.0,3197.0,,11.0,0.046
0.001,0.766426282051282,0.7646416303439018,0.7912016602662894,0.7403846153846154,200.0,0.0,3397.0,,12.0,0.046
0.001,0.7704326923076923,0.7663962267912351,0.793587816067231,0.7415865384615384,200.0,0.0,3597.0,,13.0,0.046
0.001,0.7776442307692307,0.7739660525933291,0.7993577428353138,0.750801282051282,200.0,0.0,3797.0,,14.0,0.046
0.001,0.7776442307692307,0.7739660525933291,0.7993577428353138,0.750801282051282,200.0,0.0,3997.0,,15.0,0.046
0.001,0.7776442307692307,0.7739660525933291,0.7993577428353138,0.750801282051282,200.0,0.0,4197.0,,16.0,0.046
0.001,0.7792467948717948,0.7790472981257316,0.8014814960650909,0.7584134615384616,200.0,0.0,4397.0,,17.0,0.046
0.001,0.7844551282051282,0.78188834969814,0.8034674968474951,0.7620192307692307,200.0,0.0,4597.0,,18.0,0.046
0.001,0.7868589743589743,0.7872219880421957,0.8061817166132804,0.7696314102564102,200.0,0.0,4797.0,,19.0,0.046
0.001,0.7868589743589743,0.7872219880421957,0.8061817166132804,0.7696314102564102,200.0,0.0,4997.0,,20.0,0.046
0.001,0.7868589743589743,0.7872219880421957,0.8061817166132804,0.7696314102564102,200.0,0.0,5197.0,,21.0,0.046
0.001,0.7868589743589743,0.7872219880421957,0.8061817166132804,0.7696314102564102,200.0,0.0,5397.0,,22.0,0.046
0.001,0.7872596153846154,0.789146391245035,0.8107220362394284,0.7692307692307693,200.0,0.0,5597.0,,23.0,0.046
0.001,0.7872596153846154,0.789146391245035,0.8107220362394284,0.7692307692307693,200.0,0.0,5797.0,,24.0,0.046
0.001,0.7912660256410257,0.7887133696140387,0.8092504189564631,0.7696314102564102,200.0,0.0,5997.0,,25.0,0.046
0.001,0.7964743589743589,0.7968498254433657,0.8158013041202838,0.7792467948717948,200.0,0.0,6197.0,,26.0,0.046
0.001,0.7964743589743589,0.7968498254433657,0.8158013041202838,0.7792467948717948,200.0,0.0,6397.0,,27.0,0.046
0.001,0.7964743589743589,0.7968498254433657,0.8158013041202838,0.7792467948717948,200.0,0.0,6597.0,,28.0,0.046
0.001,0.7964743589743589,0.7968498254433657,0.8158013041202838,0.7792467948717948,200.0,0.0,6797.0,,29.0,0.046
0.001,0.7964743589743589,0.7968498254433657,0.8158013041202838,0.7792467948717948,200.0,0.0,6997.0,,30.0,0.046
