decay_rate,eval_acc,eval_f1,eval_pre,eval_recall,num_new_labeled,num_pseudo_labeled,num_total_labeled,pseudo_acc,round,threshold
0.001,0.6330128205128205,0.5967464408813379,0.7452360972380027,0.5012019230769231,,,997.0,,0.0,0.046
0.001,0.6674679487179487,0.653780568868686,0.7333327654080514,0.5921474358974359,200,0,1197.0,,0.0,0.046
0.001,0.6750801282051282,0.6649834719988016,0.7295298018516638,0.6129807692307693,200,0,1397.0,,1.0,0.046
0.001,0.6750801282051282,0.6649834719988016,0.7295298018516638,0.6129807692307693,200,0,1597.0,,2.0,0.046
0.001,0.6798878205128205,0.6760386167428433,0.7383682085917547,0.625,200,0,1797.0,,3.0,0.046
0.001,0.6939102564102564,0.6837413295721396,0.7416765773907686,0.6358173076923077,200,0,1997.0,,4.0,0.046
0.001,0.6979166666666666,0.6942711999783149,0.7452228757051321,0.6510416666666666,200,0,2197.0,,5.0,0.046
0.001,0.7055288461538461,0.7000908186802497,0.750800099892494,0.6566506410256411,200,0,2397.0,,6.0,0.046
0.001,0.7075320512820513,0.7035660736071758,0.7560135538761432,0.6590544871794872,200,0,2597.0,,7.0,0.046
0.001,0.7087339743589743,0.7025996446609497,0.7434433698654175,0.6670673076923077,200,0,2797.0,,8.0,0.046
0.001,0.71875,0.7173559604546963,0.7584483883319757,0.6810897435897436,200,0,2997.0,,9.0,0.046
0.001,0.7247596153846154,0.7188151364143078,0.7571926850538987,0.6846955128205128,200,0,3197.0,,10.0,0.046
0.001,0.7271634615384616,0.7257408316318805,0.7660385889884753,0.6903044871794872,200,0,3397.0,,11.0,0.046
0.001,0.7311698717948718,0.7304407174770648,0.7647444812151102,0.6999198717948718,200,0,3597.0,,12.0,0.046
0.001,0.7311698717948718,0.7304407174770648,0.7647444812151102,0.6999198717948718,200,0,3797.0,,13.0,0.046
0.001,0.734375,0.7350638271906437,0.7646482968941714,0.7083333333333334,200,0,3997.0,,14.0,0.046
0.001,0.734375,0.7350638271906437,0.7646482968941714,0.7083333333333334,200,0,4197.0,,15.0,0.046
0.001,0.7347756410256411,0.7343283051099533,0.7637875148883233,0.7079326923076923,200,0,4397.0,,16.0,0.046
0.001,0.7403846153846154,0.7374786161459409,0.7675423904871329,0.7107371794871795,200,0,4597.0,,17.0,0.046
0.001,0.7431891025641025,0.741012019988818,0.7678566108911465,0.7167467948717948,200,0,4797.0,,18.0,0.046
0.001,0.7431891025641025,0.741012019988818,0.7678566108911465,0.7167467948717948,200,0,4997.0,,19.0,0.046
0.001,0.749198717948718,0.7466305310909565,0.7753411103517581,0.7207532051282052,200,0,5197.0,,20.0,0.046
0.001,0.7520032051282052,0.7481594452491174,0.7723408631789379,0.7259615384615384,200,0,5397.0,,21.0,0.046
0.001,0.7528044871794872,0.7523593505223592,0.776751405153519,0.7299679487179487,200,0,5597.0,,22.0,0.046
0.001,0.7536057692307693,0.7499772791679089,0.7750052580466638,0.7271634615384616,200,0,5797.0,,23.0,0.046
0.001,0.7592147435897436,0.7575903473756253,0.7807374688295218,0.7363782051282052,200,0,5997.0,,24.0,0.046
0.001,0.7608173076923077,0.7603983787389902,0.7819485939466037,0.7403846153846154,200,0,6197.0,,25.0,0.046
0.001,0.7616185897435898,0.7604676087697347,0.7800429753768139,0.7423878205128205,200,0,6397.0,,26.0,0.046
0.001,0.7708333333333334,0.7695405743060968,0.7901893502626663,0.7504006410256411,200,0,6597.0,,27.0,0.046
0.001,0.7708333333333334,0.7695405743060968,0.7901893502626663,0.7504006410256411,200,0,6797.0,,28.0,0.046
0.001,0.7716346153846154,0.7691924564349346,0.7893292407194773,0.7504006410256411,200,0,6997.0,,29.0,0.046
0.001,0.7736378205128205,0.7730441322693458,0.790060851818476,0.7572115384615384,200,0,7197.0,,30.0,0.046
0.001,0.7784455128205128,0.7780914551172501,0.7990897603524036,0.7588141025641025,200,0,7397.0,,31.0,0.046
0.001,0.7784455128205128,0.7780914551172501,0.7990897603524036,0.7588141025641025,200,0,7597.0,,32.0,0.046
0.001,0.782051282051282,0.7754698120630704,0.7957382905177581,0.7568108974358975,200,0,7797.0,,33.0,0.046
0.001,0.782051282051282,0.7754698120630704,0.7957382905177581,0.7568108974358975,200,0,7997.0,,34.0,0.046
0.001,0.7848557692307693,0.7814307442078223,0.8017464463527386,0.7628205128205128,200,0,8197.0,,35.0,0.046
0.001,0.7856570512820513,0.7856198182472816,0.8023069806588001,0.7700320512820513,200,0,8397.0,,36.0,0.046
0.001,0.7932692307692307,0.7931124934783349,0.8091647823651632,0.7780448717948718,200,0,8597.0,,37.0,0.046
0.001,0.7932692307692307,0.7931124934783349,0.8091647823651632,0.7780448717948718,200,0,8797.0,,38.0,0.046
0.001,0.7932692307692307,0.7931124934783349,0.8091647823651632,0.7780448717948718,200,0,8997.0,,39.0,0.046
0.001,0.7932692307692307,0.7931124934783349,0.8091647823651632,0.7780448717948718,200,0,9197.0,,40.0,0.046
0.001,0.7936698717948718,0.7957249482472738,0.8114841626240656,0.7808493589743589,200,0,9397.0,,41.0,0.046
0.001,0.7936698717948718,0.7957249482472738,0.8114841626240656,0.7808493589743589,200,0,9597.0,,42.0,0.046
0.001,0.7936698717948718,0.7957249482472738,0.8114841626240656,0.7808493589743589,200,0,9797.0,,43.0,0.046
0.001,0.7964743589743589,0.798555578940954,0.8166393591807439,0.7816506410256411,200,0,9997.0,,44.0,0.046
0.001,0.7964743589743589,0.798555578940954,0.8166393591807439,0.7816506410256411,7,0,10004.0,,45.0,0.046
